RegionName,CountryName,State,City,PostalCode,WarehouseAddress,WarehouseName,EmployeeName,EmployeeEmail,EmployeePhone,EmployeeHireDate,EmployeeJobTitle,CategoryName,ProductName,ProductDescription,ProductStandardCost,Profit,ProductListPrice,CustomerName,CustomerAddress,CustomerCreditLimit,CustomerEmail,CustomerPhone,Status,OrderDate,OrderItemQuantity,PerUnitPrice,TotalItemQuantity,SalesOrderID,SalesOrderDate,SalesOrderStatus,SalesAmount
Lake Tracimouth,United States Virgin Islands,Texas,Owensland,84548,"8186 Roberto Crescent
Lake Courtneymouth, VT 31892","Franklin, Clark and Mills",Jason Hawkins,jasonblanchard@walton.org,(860)549-5358x14897,2022-01-22,Landscape architect,Furniture,T-Shirt,Son too individual short decade idea sense.,386.92,400.75,237.31,William Diaz,"9125 Jennings Springs
Tamaraburgh, MO 21643",13054.01,webblori@yahoo.com,675-677-5134,Processing,2023-04-10,8,448.53,54,e35dfcbc-7bd9-4766-8e1a-6caa1da9ce4e,2024-01-26,Returned,3588.24
West Jessicamouth,Holy See (Vatican City State),Kansas,Smithhaven,35007,"38559 Emily Station Apt. 565
Howellchester, OR 72919",Dalton PLC,Gregory Jackson,harrisoncandice@gmail.com,(598)043-8187x8738,2022-01-04,Rural practice surveyor,Furniture,Laptop,Stuff candidate analysis figure trial.,273.56,364.05,851.79,Morgan Wright,"189 Rodriguez Greens
Johnsonside, KY 82388",5850.16,nelsonlori@hotmail.com,(140)547-4599,Shipped,2023-12-06,13,1071.7,82,15a52c00-d8df-4970-b1c4-53f56bf78229,2024-04-24,Returned,13932.1
West Alexisburgh,Mayotte,Arkansas,South Michaelfurt,39041,"7885 Bennett Canyon Suite 665
Sheltonbury, NV 51658","Nixon, Small and Martinez",Vanessa Jones,tiffany40@miller.net,624-961-8342x8337,2023-12-01,Publishing copy,Electronics,Microwave,Great mean current watch language pull.,578.37,39.71,321.94,Stanley Dorsey,"2496 Harris Burgs Suite 613
Lake Stacy, OH 56388",15022.5,iwebb@gray.info,(968)592-8828,Cancelled,2022-11-26,17,882.19,60,583090c2-d67f-4d57-8a7f-aff04b8b3d98,2024-03-08,Completed,14997.230000000001
Tinamouth,United States Minor Outlying Islands,Arizona,West Matthew,89692,"001 Jack Landing
Gutierreztown, PA 47012",Jordan-Flores,Stephanie Collins,swright@smith.com,514-182-7824x33993,2021-02-01,"Civil engineer, contracting",Appliances,Dress,Remain interesting rest level.,604.59,3.13,1369.62,Henry Stewart,"01831 Matthew Ridge Apt. 216
West Katherinetown, NV 14578",6848.07,jacksonelizabeth@houston-davenport.info,(006)407-7327x1891,Shipped,2022-10-15,1,1133.71,29,67190b37-0c94-4e9d-9acf-e1abc0ee1ec6,2024-04-26,Returned,1133.71
South Miguel,Palestinian Territory,Michigan,New Nathan,61524,"USNV Cohen
FPO AE 04053",Patterson and Sons,Megan Tran,richardparker@hotmail.com,+1-601-719-7972x1940,2023-12-01,"Engineer, civil (consulting)",Furniture,Jeans,Student cup actually list tend attorney.,609.85,140.04,1109.27,Jessica Herman,"1122 Sexton Court Suite 195
South Amy, CO 36201",12306.27,johnsontammy@gmail.com,(026)557-8980x555,Delivered,2022-09-30,13,561.48,91,0e15951e-93c2-4e36-9b8c-0bb53913e4a7,2023-02-01,Returned,7299.24
Rayfort,Mongolia,Missouri,Jimmyshire,86087,"608 George Courts Suite 293
East Chelseaton, IN 03572",Stewart and Sons,Ashley Wyatt,michaelthompson@olson-zimmerman.info,009-272-6766x4345,2024-02-02,Soil scientist,Clothing,Jacket,Have author cost finally.,302.76,31.26,653.38,Tiffany Adams,"2104 Church Ridges Suite 549
Jennifermouth, NM 60620",9487.93,kwilkinson@melendez.net,657.036.0333x601,Processing,2024-04-23,9,834.98,89,9d995f98-0b91-4c7a-b547-dce667c66d65,2024-02-13,Pending,7514.82
New Glennton,Saint Barthelemy,Oregon,Nicholasfurt,16864,"Unit 9886 Box 6067
DPO AE 59464",Wilkins Inc,Steven Garcia,miranda88@rosales.com,112.789.4753,2022-09-03,Call centre manager,Furniture,Puzzle,Bill act defense only hand.,698.58,26.74,1464.31,Pamela Johnson,"94513 Travis Mission Suite 161
Andrewtown, SC 81142",16315.86,carteramanda@oliver-white.biz,(053)626-1412,Cancelled,2024-02-26,10,125.9,83,98dede9f-1aee-4bf7-9661-19afa179a363,2024-02-06,Completed,1259.0
South Robertshire,South Africa,Michigan,New Katherineborough,54861,"Unit 4289 Box 4785
DPO AP 58493",Harris-Powell,Sophia Hensley,osingh@gmail.com,2691856691,2021-07-07,"Therapist, occupational",Appliances,Smartphone,Also until some everything major.,821.7,124.75,912.27,Brandon Jones,"1805 Weeks Inlet Apt. 967
Nathanchester, WY 08649",12796.21,kimberly62@yahoo.com,246-040-0347,Cancelled,2023-01-18,11,10.98,92,2b48c828-24e8-4f69-b627-ff10d8781100,2024-05-02,Completed,120.78
Millerhaven,Madagascar,Arkansas,Jonathanstad,90857,"442 Shelton Field Apt. 586
West Barrymouth, PA 82181","Foley, Martin and King",Carol White,karinacook@hotmail.com,246.410.3775,2019-11-14,Office manager,Clothing,Sofa,Even source pattern. Assume town what answer.,901.74,349.24,1167.16,Kayla Payne,"91393 Edwards Islands Apt. 416
West Angelamouth, RI 05631",7459.9,michaelhenderson@jones-brooks.net,(434)201-7809,Delivered,2023-02-01,9,1489.46,91,1adbf587-4eaf-47af-b098-0f1e2409e493,2023-06-11,Returned,13405.14
Amandaside,Bouvet Island (Bouvetoya),Colorado,Jensenburgh,81154,"91273 Ross Ports Apt. 443
Port Chelseaton, IL 41799",Stevenson LLC,Thomas Davenport,reedsteven@hotmail.com,(776)962-8961,2020-01-24,Child psychotherapist,Electronics,Laptop,Role media among wear measure.,667.72,334.28,1241.95,Marissa Jones,"155 Roth Alley
Port Nathanshire, AZ 61623",15912.42,bauerpaige@hotmail.com,362-268-6751x041,Delivered,2022-11-15,13,1038.35,19,634b9f9e-eba7-4c7d-a3f2-49fb772d38e6,2022-09-23,Completed,13498.55
South Ashley,Anguilla,California,Sandrahaven,27762,"62264 Franklin Hill
Ethanfort, WI 07974",Lawson-Gonzalez,Molly Price,bakerjuan@williams-macias.info,001-188-996-8764x60359,2021-06-30,"Programmer, applications",Furniture,Board Game,Reality receive whether assume.,816.81,224.73,873.28,Paula Barnes,"21808 Margaret Springs
New Stephanie, VT 51778",15021.86,tturner@browning.net,+1-012-667-1754,Delivered,2023-02-17,14,735.58,76,5cc12063-db8f-469c-9606-c49906a9b94a,2023-01-27,Pending,10298.12
Lauraview,Burundi,Massachusetts,New Nancyfurt,94167,"371 Smith Hills Suite 954
Jenniferborough, UT 10898",Ross Ltd,Colin Richardson,erin69@hotmail.com,+1-078-904-2732x39918,2022-12-09,Freight forwarder,Clothing,Smartwatch,Next great store drive together camera popular.,41.08,484.97,510.91,Sara Harris,"52498 Ryan Gardens Suite 830
Cristianburgh, GA 59009",1012.33,gsnyder@arnold-smith.com,2585003518,Shipped,2023-03-04,18,1363.61,17,1dd8ab1b-0dd0-497d-ae50-97106970f59c,2023-10-30,Pending,24544.98
Ashleyburgh,Pakistan,Massachusetts,Lake Darlene,70735,"0125 Miller Mission
West Michael, AR 91997","Myers, Cline and Collins",Katherine Hawkins,mramirez@hotmail.com,023.639.9798x662,2023-12-04,"Teacher, music",Clothing,Shirt,Analysis store least hour film.,240.36,411.34,1192.37,Madison Williams,"USNS Montgomery
FPO AP 31864",3771.16,kayla77@hotmail.com,+1-766-191-0292,Delivered,2023-03-12,5,1144.2,10,77c12c25-7540-40f1-b6a3-3b61ea0c4f9a,2023-06-04,Returned,5721.0
East Jacob,Solomon Islands,Wyoming,East Hector,01054,"065 Haas Knoll
North Ann, FL 41342","Young, Hughes and Torres",Adam Stewart,rebeccaherman@acosta.biz,+1-415-736-5036x5294,2024-06-26,Dentist,Clothing,Table,Positive indicate reflect.,147.61,189.95,988.63,Joseph White,"30438 Mckenzie Divide Apt. 619
Wallsfort, TN 79963",18198.1,ssmith@leonard.com,348.808.1651x0383,Delivered,2023-06-09,1,604.0,70,d00554ab-0872-488c-9374-a42851dd4c83,2022-09-14,Completed,604.0
North Christown,France,Iowa,East Rebeccaport,91308,"316 Jasmine Courts
Port Keith, NH 02420",Michael-Fischer,Anthony Stephens,jillianjones@hood.info,976-599-2886,2022-11-24,"Accountant, chartered public finance",Clothing,Shirt,Approach enjoy five suffer. Research wind step.,922.69,247.14,767.41,Allison Fletcher,"34445 Snyder Junction Apt. 201
Matthewsfort, TN 02141",10603.39,jose90@gmail.com,(945)750-9270x526,Shipped,2024-07-07,5,442.75,24,e6063d20-ca55-4f68-b73d-80aa05df2fef,2022-09-07,Completed,2213.75
Meyerborough,Rwanda,Florida,South Stephanieborough,90231,"883 Robinson Glens Suite 590
West Gloriashire, AZ 61287",Patton Ltd,Peggy Wagner,ucrawford@gmail.com,001-163-076-0176x12813,2022-08-03,Research scientist (life sciences),Furniture,Chair,Term reach bar program.,54.42,463.56,1188.89,Kathy Cline,"142 Patricia Club Suite 112
Port Ronaldmouth, MT 37896",3195.58,pjohnson@byrd.com,211-134-9464,Cancelled,2023-08-12,6,935.44,79,f21aa7e4-f312-4905-bc7c-a4a18086b826,2024-04-21,Pending,5612.64
Lake Williamtown,Martinique,Arizona,Lake Vanessa,35090,"99977 Daniel Drives
Kramerburgh, AZ 26080","Brown, Gray and Ali",Curtis Gardner,ccunningham@rodriguez.com,5669685512,2023-09-05,Archivist,Furniture,Refrigerator,Moment region structure likely.,764.56,326.56,736.43,Kristin Graves,"57291 Sarah Valleys Apt. 777
West Larrymouth, TX 48756",12899.44,glenn93@hotmail.com,+1-211-149-9560,Cancelled,2023-12-01,3,587.8,46,c5f53cdc-c212-46ce-82f3-96f975a8264d,2023-06-06,Completed,1763.3999999999999
East Kimview,Niue,Connecticut,West Lisamouth,73553,"701 Robert Inlet
Jonathanmouth, TX 83859",Williams PLC,Amanda Edwards,boyleangela@yahoo.com,446-018-6998x40751,2023-03-14,"Psychologist, clinical",Clothing,Jeans,Sound another size.,886.99,208.67,193.87,Alex Carr,"3625 Banks Cliff Apt. 590
Fosterborough, SD 11616",4298.65,hallbrandi@yahoo.com,825-888-3756x82317,Shipped,2023-07-10,19,532.38,80,2ca285ac-a762-4037-9064-c6a848630d5b,2023-03-30,Pending,10115.22
Port Bailey,Yemen,Kansas,South Tracytown,02777,"0175 Christopher Heights Apt. 896
Alexandrahaven, OK 79058",Brown Ltd,Jennifer Ballard,holmesnicholas@hotmail.com,(067)051-1239,2023-12-16,Insurance broker,Appliances,Tablet,Couple service finally for.,215.48,288.33,411.64,Angela Frye,"53706 Paul Unions Apt. 097
Kelleyborough, NJ 78344",11038.88,tanya44@gonzalez.com,+1-635-141-5862,Delivered,2023-06-25,10,1201.2,100,7bb6d111-6b4e-48b0-9bd7-caa156039056,2023-03-16,Returned,12012.0
Lucasfort,Bermuda,Idaho,East Jasmine,73254,"780 Robert Trail Apt. 052
Johnbury, ME 00957","Dalton, Porter and Anderson",Brittany Chavez,sellis@bennett.com,001-675-635-0651x2672,2023-08-21,Best boy,Electronics,Jeans,There go marriage TV surface identify.,335.86,327.47,761.31,Lauren Henderson,"3887 Deborah Mission Suite 600
West Andrew, IA 58062",4084.15,michelle12@morris-jones.com,640-767-0187x61623,Shipped,2023-07-09,12,566.89,95,8dec240b-048e-4e3c-8b59-3d2d570bb5e5,2023-02-22,Completed,6802.68
Mcknightton,Netherlands Antilles,Illinois,Zimmermanside,38586,"838 Christopher Plaza
Lake Michaelberg, NV 59293","Hopkins, Gonzales and Francis",Eric Owens,plevine@hotmail.com,253.898.2048,2022-04-14,Health service manager,Appliances,Doll,May business or herself fact police inside.,594.51,344.83,871.52,Kayla Smith,"166 Wilson Trace
Allisonchester, WY 17062",17186.31,ryan35@harris.com,(822)785-8098,Cancelled,2023-08-19,19,572.07,95,563374f0-3958-40f6-a8ba-d1ab49275c65,2024-02-15,Completed,10869.330000000002
East Ashleyton,Angola,Colorado,Hancockside,08102,"65938 Sanchez Summit
North Reneeshire, KY 33519","Mcgrath, Moreno and Jenkins",Kenneth Sanchez,joseph72@hotmail.com,(157)615-3328,2021-02-07,Barista,Furniture,Laptop,Himself full son window.,816.71,198.1,1201.02,Bradley Page,"691 Collins Ridges Apt. 282
Kimberlyton, CO 78211",11036.59,bortiz@hotmail.com,+1-400-978-5349x7773,Processing,2023-09-17,9,675.38,67,4849262a-c643-42bf-bd2c-6e3afa593d8c,2024-02-23,Returned,6078.42
North Robertberg,Seychelles,Georgia,Nelsonhaven,69814,"USS Bullock
FPO AP 39569","Anderson, Griffin and Massey",Jocelyn Wilson,nbates@yahoo.com,640.496.2294x4643,2021-03-13,Food technologist,Toys,Air Conditioner,Your where manager describe.,12.3,14.32,646.62,Wendy Smith,"57253 William Lakes Apt. 457
Brownmouth, VA 76042",9161.15,jacob78@miller.com,001-065-833-4469,Delivered,2023-08-03,14,110.51,58,49519d91-da87-43ff-841d-426ec58cab84,2023-09-26,Pending,1547.14
Raymondfurt,France,New Hampshire,East James,32354,"4474 Jessica Mountain Suite 960
Larryville, DE 20018","Solis, Best and Kent",Lisa Leonard,petersjeffrey@gmail.com,001-296-815-9674x81254,2021-11-18,Industrial/product designer,Toys,Table,Able bag lawyer.,807.19,355.63,553.2,Melissa Thompson,"607 Mark Keys Suite 607
Charlottetown, VT 46072",1718.8,gilesjodi@torres-snow.com,481-042-6859x5029,Shipped,2023-02-23,5,677.45,63,9c2b5fc8-d787-447c-ae36-d8bbd07c6226,2022-08-07,Completed,3387.25
Brownshire,Wallis and Futuna,Utah,New Ryanport,68310,"0980 Kristen Ramp
New Phyllismouth, KY 78329",Anderson LLC,John Hickman,hernandezjason@yahoo.com,185.155.3278,2023-05-24,Set designer,Electronics,Jeans,Foot body include war interest.,72.9,2.66,765.77,Heather Stone,"125 Lambert Ranch Suite 873
Carlaborough, DE 08037",14111.58,lboyd@martin.com,+1-934-818-6765x1426,Delivered,2024-03-08,15,48.04,90,3b15c051-8e16-4ac1-a034-21c48c46ecca,2023-02-06,Completed,720.6
Sarahburgh,Guinea-Bissau,Mississippi,Port Hannahview,62016,"54797 Hannah Shore Apt. 507
Torresfort, SD 39137",Ford-Palmer,Tammy Shields,loganguzman@martinez-cunningham.net,(802)736-4083x5138,2023-09-16,Animal nutritionist,Appliances,Refrigerator,Measure Congress much day more hot.,51.77,438.57,528.46,Francisco Wiggins Jr.,"4516 Linda Curve Apt. 986
North Michaelland, MT 76720",7235.02,owengregory@martinez-reyes.com,+1-934-365-4222x421,Shipped,2023-04-22,4,389.93,61,ef7e6819-9906-4ecf-b0ea-2b6946360a01,2022-08-11,Pending,1559.72
Davisstad,San Marino,Idaho,Billytown,15480,"7365 Patrick Freeway Suite 741
South Jamesview, CT 37260","Gonzalez, Warren and Hernandez",Betty Brown,fgray@glass-woodard.com,(005)761-5537x6667,2024-04-26,Engineering geologist,Appliances,Shirt,Glass involve evidence risk my range boy.,487.27,179.2,1453.55,Natalie Miller,"67669 Cooper Forks
Jessicachester, MO 32472",3438.09,tmoss@gmail.com,173-059-6171x134,Delivered,2024-05-01,9,148.28,98,d5f808f6-2326-42ad-97bc-86ca7aa9af7a,2024-01-09,Returned,1334.52
Patrickberg,Korea,Minnesota,Robertchester,64037,"074 Mason Meadows Apt. 286
Lauraborough, CO 92429",Marsh Inc,Brett Bush,nhogan@nichols.com,(720)136-5772x702,2023-02-12,"Surveyor, commercial/residential",Electronics,Table,Sea national society provide.,29.33,12.64,550.9,Robert Williams,"8484 Johnson Ports Suite 769
Parkerburgh, SD 36908",8707.8,stephenhoffman@yahoo.com,(071)712-2247x77987,Shipped,2024-03-11,3,286.5,24,9aed270e-2afa-4c21-89dd-14784ef0cc43,2023-02-13,Returned,859.5
New Karatown,Antarctica (the territory South of 60 deg S),Rhode Island,New Carlyfort,55446,"819 Smith Cove
Dustinside, AK 34643",Simpson-Bailey,Joel Evans,anthonyspencer@hotmail.com,212.716.3129x48266,2020-03-09,IT trainer,Appliances,Cabinet,Gun various single Congress measure article fund.,510.08,440.96,625.24,Joshua Lara,"73279 Michael Meadow
Toddbury, WA 12394",7492.65,walkersarah@hotmail.com,+1-775-440-5818x360,Cancelled,2024-01-24,16,496.2,29,3b9b2155-c421-4a8a-a4c0-dc42a8ba3a12,2023-03-06,Completed,7939.2
Chanmouth,Palau,Illinois,Wrightborough,14208,"630 Barbara Parks
Mirandachester, IL 25780",Garcia-Morgan,Chad Williams,gwilliams@anderson.net,+1-118-567-3150,2022-09-17,"Surveyor, commercial/residential",Clothing,Sofa,Describe not off building magazine region rather.,505.04,251.29,1195.62,Christopher Sanchez,"31540 Justin Mills Apt. 571
Franklinside, RI 27750",8024.8,bgallegos@turner.net,860.017.5479x19662,Delivered,2023-11-14,18,193.21,94,d8b423e2-deb7-46b5-8843-db34b52b6749,2024-04-21,Completed,3477.78
Port Andre,Fiji,Colorado,Vargasmouth,03524,"928 Melissa Pike
Simpsonton, NH 55980",Rivera-Jackson,Mary Wallace,thompsonkimberly@sellers.com,(872)989-8915,2019-12-08,Product designer,Electronics,T-Shirt,Other lay summer look impact four.,812.34,494.11,889.72,Steven Bowman,"38663 Rachel Land
Sanchezmouth, SC 70200",17904.63,whitesusan@yahoo.com,001-989-189-6567,Processing,2024-06-25,9,898.29,83,f2cd6b6e-75e1-44ae-8362-4ede012fd0ed,2024-04-29,Pending,8084.61
Lake Victoria,Tuvalu,North Carolina,Smithshire,22571,"2375 Washington Island Suite 378
New Georgemouth, NM 19154",Smith-Valencia,William Knight,chamberswillie@chapman.com,760.233.8326x822,2024-05-18,"Engineer, civil (consulting)",Appliances,Smartwatch,Now interview store choose apply risk.,247.51,457.6,1168.88,Melissa Archer,"2563 Moore Village
North Williammouth, MI 57459",5207.19,levinesabrina@reynolds.net,376-481-4810x614,Delivered,2022-09-14,7,801.76,14,7bbb95ef-f930-4e75-8659-bffc1a31dbe7,2023-05-14,Pending,5612.32
Sarahmouth,Mauritius,Alabama,Evanshire,66735,"410 Cory Bypass
Tylerside, ND 17003",Garcia-Valencia,Robyn Crosby,kevinbutler@hicks.com,846-551-6243,2024-05-22,Secretary/administrator,Clothing,Bed,Young wall nearly purpose last series protect.,566.21,249.69,410.58,Brady Kelly,"557 Ferguson Dale Apt. 202
Port Jesseberg, MS 75980",18210.87,selliott@gomez-larson.com,5075374694,Processing,2023-04-05,5,1216.16,51,4375f417-b761-47ba-bc50-24ff67bfeb32,2023-02-18,Pending,6080.8
New Michael,Venezuela,Colorado,Simsmouth,75495,"1999 Melissa Gardens
Peterville, MA 80087",Price-Ford,Melissa Rice,terripadilla@hotmail.com,946-725-7103x2541,2021-04-16,Banker,Furniture,Headphones,Director might federal.,6.35,257.13,1244.03,Jon Smith,"USNV Phelps
FPO AE 13413",10912.07,wardjohn@gmail.com,+1-230-837-2624x679,Shipped,2024-01-29,3,1106.52,82,e97cb4b2-0c4e-4449-81a9-8846033bdcc4,2023-03-02,Returned,3319.56
Lake Brian,Tonga,Arkansas,South Juliechester,73203,"15570 John Falls Suite 388
Kimberlybury, WV 09568",Whitaker and Sons,Melissa Smith,rbass@jimenez.biz,001-979-628-5132,2022-01-18,Geographical information systems officer,Clothing,Air Conditioner,Particularly building staff go visit experience.,488.11,226.05,1312.84,John Preston,"0632 Williams Roads Apt. 973
Joyceland, MO 73020",9558.8,markparker@gmail.com,(986)386-5634,Cancelled,2024-05-31,12,1080.32,98,a15a5665-7ed3-4d3b-897f-dac7f0958a48,2024-04-07,Returned,12963.84
Port David,Senegal,Minnesota,West Grantburgh,43429,"USS Price
FPO AE 38517","Williams, Mcbride and Berg",Laura Aguilar,arroyojerry@smith.biz,(103)677-4763x903,2020-02-29,"Nurse, adult",Toys,Headphones,We avoid still other under.,510.93,277.5,762.93,Richard Ramirez,"17351 James Common Apt. 556
Angelaville, WY 97571",14621.04,vbriggs@ferrell-fuller.com,(165)947-7588,Delivered,2023-09-30,4,414.55,94,829c2ff5-21c6-4e51-92f6-8bab0c9c4d02,2023-06-30,Returned,1658.2
South Davidmouth,Libyan Arab Jamahiriya,Connecticut,Greenbury,73968,"4978 Tracy Plains
Lake Josephville, SD 14342","Dunn, Mercer and Hall",Andrea Jones,chase63@hotmail.com,+1-870-698-5020x6795,2021-04-26,Animator,Furniture,Table,Team note what whatever need few.,173.91,278.27,1180.62,Lisa Anderson,"273 Annette Bypass
Maciasmouth, CT 51049",5293.92,sandra29@gmail.com,5138251074,Delivered,2023-02-23,20,180.73,56,17016812-3f4e-4c4d-92c7-0efb0866bb05,2023-08-28,Returned,3614.6
Perezton,Denmark,Hawaii,South Phillipton,96767,"57718 Lindsey Drive Apt. 665
Port Stephanie, GA 24598",Sandoval LLC,Brian Long,kimberly14@gmail.com,001-925-635-2542,2020-11-10,Heritage manager,Toys,Microwave,Always coach black view weight PM himself.,865.25,216.01,1429.82,Charles Whitehead,"6732 Castro Extensions Apt. 565
Clarkton, MN 58062",9971.54,montgomerygloria@flores-edwards.biz,921.214.5730x2687,Delivered,2022-10-13,10,110.63,37,00f32f46-ef9f-41ec-bdae-f35cd1925bd6,2024-04-15,Returned,1106.3
West Susan,Korea,North Carolina,New Louisside,68432,"453 Thompson Knoll
Georgebury, LA 18270",Anderson LLC,Christopher Leon,cynthia33@hotmail.com,(304)674-1639,2022-03-30,Higher education lecturer,Appliances,Jeans,Main water standard water bad operation.,771.95,151.5,698.62,Megan Foster,"141 Carpenter Harbors
West Renee, ME 35942",14294.82,vlarson@potter-lopez.com,001-626-600-0345x9474,Cancelled,2024-04-16,9,385.24,29,2bd5f71b-b7e4-4910-a8cf-6b2e0a613e80,2023-12-15,Pending,3467.16
