ProductID,ProductName,CategoryName,SalesDate,Region,Country,City,SalesQuantity,UnitPrice,Discount,CustomerID,CustomerName,CustomerEmail,CustomerPhone,TotalRevenue
52,Product 52,Clothing,2023-03-29,East,Somalia,Samanthaland,29,230.64,0.23,52,Scott Hensley,kennedytony@orozco.org,+1-768-033-3989x5426,5150.191199999999
53,Product 53,Sports,2020-09-17,North,United Arab Emirates,Lake Kari,35,89.73,0.25,53,Amber Hunter,hollandmarc@yahoo.com,001-568-705-5906x32910,2355.4125000000004
54,Product 54,Clothing,2023-05-03,South,Guam,North Danielle,1,94.46,0.01,54,Kristen Goodman,jonathan54@bradford.com,634-762-0192,93.5154
55,Product 55,Clothing,2022-02-01,South,New Zealand,Sandraside,1,229.18,0.09,55,Charles Mendoza,jackiewalker@yahoo.com,+1-434-849-9728,208.55380000000002
56,Product 56,Clothing,2023-02-22,West,Monaco,Montgomeryfurt,37,109.01,0.15,56,David Jones,meghan62@oneill.info,698.492.3459x3417,3428.3645
57,Product 57,Sports,2020-03-03,West,Cyprus,Laurenfort,54,272.39,0.12,57,Miguel Wilcox,yhayes@yahoo.com,169.080.8586x3307,12943.9728
58,Product 58,Beauty,2021-08-26,East,Norfolk Island,Lake Allison,6,75.49,0.07,58,Linda Briggs MD,thomascantu@moses-jacobs.com,205.907.5161,421.23419999999993
59,Product 59,Electronics,2020-01-19,North,San Marino,Veronicabury,39,74.95,0.09,59,Brian Summers,samuel05@yahoo.com,774.901.6129x148,2659.9755000000005
60,Product 60,Electronics,2020-11-26,East,Central African Republic,Bateshaven,18,857.71,0.28,60,Edwin Garcia,bowerselizabeth@yahoo.com,001-359-989-3336x36315,11115.9216
61,Product 61,Home,2022-01-10,South,Pakistan,Murrayberg,80,170.5,0.09,61,Leah Burns,vsellers@hotmail.com,+1-191-771-9058,12412.4
62,Product 62,Sports,2021-01-19,West,Congo,North Mary,5,564.09,0.11,62,Robert Branch,kyleschwartz@compton.com,+1-438-916-9674,2510.2005000000004
63,Product 63,Beauty,2022-06-19,South,Singapore,East Sarahburgh,43,775.72,0.0,63,Jason Yoder,elizabethestrada@gmail.com,001-952-575-9978x084,33355.96
64,Product 64,Electronics,2020-04-01,East,Austria,Jarvisville,59,461.85,0.25,64,Deborah Parks,mollymitchell@johnson.biz,(444)564-5252x62129,20436.862500000003
65,Product 65,Home,2020-03-25,East,Kuwait,South Alejandromouth,32,161.84,0.05,65,Diana Simmons,carterderek@harrell.com,(625)796-4497,4919.936
66,Product 66,Sports,2021-11-09,West,United Arab Emirates,North Tina,2,207.6,0.06,66,Rachel Bailey,phillipsmichelle@terrell.info,8374082443,390.28799999999995
67,Product 67,Home,2023-12-24,North,Papua New Guinea,Garciaport,66,438.65,0.08,67,Jacqueline Marquez,johnsonronald@cannon.biz,+1-423-485-3974x08754,26634.827999999998
68,Product 68,Electronics,2021-09-08,South,British Indian Ocean Territory (Chagos Archipelago),Lake Joshuashire,42,532.95,0.27,68,Kelly Joyce,wmorgan@hotmail.com,268.970.5087x92827,16340.247000000001
69,Product 69,Sports,2022-09-09,North,Kuwait,Lake Sandra,58,355.95,0.06,69,Kelly Hernandez,chelsea66@garcia.com,070-822-8577x68022,19406.393999999997
70,Product 70,Home,2022-06-15,East,Bermuda,Patrickview,36,783.66,0.24,70,Theresa Acosta,megandawson@bailey.net,+1-493-820-9788x523,21440.937599999997
71,Product 71,Sports,2021-11-18,South,Norfolk Island,Walkerview,12,753.51,0.24,71,Katherine Berry,meadowssarah@rowland.com,060-047-0301x6681,6872.011199999999
72,Product 72,Clothing,2023-08-26,East,China,Schultzhaven,47,927.94,0.28,72,Robert King,cassandra46@madden-sloan.com,+1-049-040-4151,31401.4896
73,Product 73,Sports,2021-04-11,West,France,South Jadeside,83,38.66,0.03,73,Michele Anderson,iphillips@davis-sanchez.com,001-411-440-2376x3514,3112.5165999999995
74,Product 74,Sports,2020-10-01,South,Wallis and Futuna,Weeksville,92,896.73,0.07,74,Cheyenne Hamilton,smack@gmail.com,695.268.3352x394,76724.2188
75,Product 75,Sports,2023-04-12,East,Moldova,New Patrick,1,398.64,0.22,75,David Cole,jeremiah30@yahoo.com,(769)716-3338,310.9392
76,Product 76,Home,2023-02-04,East,Slovenia,Anahaven,15,879.59,0.06,76,Donna Salinas,dixonrichard@miller-cooper.com,542-377-2088x29797,12402.219
77,Product 77,Beauty,2020-04-09,South,Russian Federation,Knappfort,54,693.88,0.09,77,Michael Moore,ysanders@yahoo.com,943-920-8734x024,34097.2632
78,Product 78,Electronics,2021-10-29,East,Italy,New Chad,13,987.48,0.05,78,Patricia Vasquez,riverabryan@yahoo.com,575.423.0763x96309,12195.377999999999
79,Product 79,Sports,2024-06-06,North,Spain,East Cassandra,43,761.69,0.05,79,Devon Miller,njacobson@yahoo.com,1070128738,31115.036500000002
80,Product 80,Beauty,2020-08-04,East,Mauritania,Jenniferport,85,370.9,0.14,80,Rachel Jackson,slee@torres-hickman.com,4634567413,27112.789999999997
81,Product 81,Home,2020-04-04,North,Portugal,Kimberlymouth,76,506.05,0.03,81,Isaac Phillips,heathercantu@williams.com,(149)213-1863,37306.006
82,Product 82,Sports,2020-12-28,South,Guadeloupe,Howellfort,69,382.63,0.1,82,Stephanie Farrell,annkim@gomez.com,6940324256,23761.323
83,Product 83,Clothing,2020-12-29,East,El Salvador,Brownburgh,7,371.26,0.13,83,Linda Williams,harrisondestiny@harrison.net,001-674-204-9819x97561,2260.9734
84,Product 84,Home,2020-03-28,North,Belgium,Coopershire,69,268.3,0.01,84,Jennifer Mack,kara99@richards.com,001-936-544-2100x1225,18327.573
85,Product 85,Clothing,2023-12-18,West,Brazil,North Tyler,48,501.01,0.12,85,Natalie Wilson,oosborne@yahoo.com,001-112-221-8827,21162.6624
86,Product 86,Clothing,2021-11-09,North,Lithuania,East Tylerbury,4,684.92,0.03,86,John Nolan,bradley00@yahoo.com,(843)766-4107x10644,2657.4896
87,Product 87,Clothing,2021-09-07,North,Sudan,Smithview,77,284.57,0.15,87,Beth Brooks,jessica15@hotmail.com,(983)532-5976x002,18625.106499999998
88,Product 88,Electronics,2021-12-18,South,Jordan,New Amanda,53,529.14,0.25,88,Daniel Levy,longdarin@foster.com,001-261-003-5961,21033.315
89,Product 89,Sports,2022-04-01,North,British Indian Ocean Territory (Chagos Archipelago),New Aliciaside,79,126.21,0.25,89,Sheena Soto,john84@hotmail.com,713-163-4690,7477.9425
90,Product 90,Home,2023-12-28,North,Ireland,Stevenchester,16,168.25,0.02,90,Ann Campos,sanchezkevin@hotmail.com,+1-935-037-9002,2638.16
91,Product 91,Beauty,2024-01-30,South,Malaysia,Frederickburgh,21,56.34,0.18,91,Jake Delacruz,cheyenne65@yahoo.com,6976152515,970.1748000000001
92,Product 92,Electronics,2024-02-01,East,Palau,Kellyshire,59,971.02,0.25,92,Gabrielle Miller DDS,campbellbrian@yahoo.com,068-998-6266x4863,42967.635
93,Product 93,Electronics,2024-03-11,North,Wallis and Futuna,Theodoreview,24,13.82,0.07,93,John Carrillo,jopowers@bolton.com,384-257-6838,308.4624
94,Product 94,Clothing,2022-06-24,North,Thailand,Port James,80,186.79,0.23,94,Chelsea Hester,henrypatrick@glenn.info,+1-419-618-5946,11506.264
95,Product 95,Clothing,2021-05-03,East,Micronesia,East Matthewtown,14,616.74,0.27,95,Derek Nicholson,danielleward@cooper.biz,(047)754-7167,6303.0828
96,Product 96,Electronics,2021-04-05,West,Northern Mariana Islands,Francesstad,86,90.56,0.24,96,Jonathan Castillo,jacquelinebrooks@dixon.com,(679)922-1046x888,5919.0016
97,Product 97,Electronics,2021-02-18,South,Guinea-Bissau,Davidburgh,49,883.08,0.03,97,Ashley Greene,michael98@yahoo.com,4347699043,41972.792400000006
98,Product 98,Sports,2021-05-31,South,French Polynesia,East Austin,50,722.42,0.0,98,Cameron Curry,patriciahernandez@hotmail.com,0521424423,36121.0
99,Product 99,Beauty,2023-11-10,West,Ukraine,Lake Dakota,70,966.73,0.06,99,Carrie Johnson,amy88@taylor.org,001-028-357-1715,63610.834
100,Product 100,Sports,2021-08-18,West,Fiji,New Davidton,42,512.56,0.08,100,William Edwards,rfields@gmail.com,+1-773-480-4923x8290,19805.318399999996
101,Product 101,Home,2023-11-21,South,Cyprus,Michaelburgh,36,307.4,0.18,101,Rodney Scott DDS,wrightvictoria@hotmail.com,316.022.1582,9074.448
102,Product 102,Sports,2023-07-18,East,Jordan,West Justin,65,554.01,0.12,102,Ruth Brady,cpruitt@weber.biz,(127)061-4126,31689.372000000003
103,Product 103,Clothing,2022-10-17,East,Costa Rica,Lake Chad,96,931.51,0.21,103,Paige Flowers,rebeccareynolds@martinez.com,+1-724-842-2910x37304,70645.7184
104,Product 104,Clothing,2020-06-17,South,Anguilla,West Christopherland,70,525.55,0.11,104,Michael Evans,mallory94@dalton.biz,013.517.3625,32741.765
105,Product 105,Sports,2021-01-01,East,Sri Lanka,Lake Wanda,95,274.53,0.05,105,Brian Thompson,williamsdebbie@yahoo.com,001-819-036-1152x853,24776.332499999997
106,Product 106,Beauty,2022-09-13,West,Uganda,Christineland,1,878.62,0.09,106,Brett Ortiz,pagemichael@hotmail.com,+1-397-190-9968x30318,799.5442
107,Product 107,Sports,2023-10-17,West,Kenya,Stephenland,51,378.2,0.27,107,Jessica Gonzales,rebeccarodriguez@thompson.org,372-790-6007x0152,14080.386
108,Product 108,Home,2024-03-31,North,Kazakhstan,Lake Jeffrey,37,11.37,0.29,108,Mrs. Tammy Wright MD,ceaton@gmail.com,703-637-6173,298.68989999999997
109,Product 109,Beauty,2024-03-13,West,Armenia,Ryanmouth,35,255.21,0.06,109,Timothy Roth,phuffman@mckinney.com,+1-700-153-1725,8396.409
110,Product 110,Beauty,2024-05-26,East,Iceland,West Ryanshire,49,325.05,0.24,110,Alexander Pope,jennifer41@bird.com,141.587.1295x028,12104.862000000001
111,Product 111,Home,2022-05-17,West,United Kingdom,West Julia,94,860.19,0.08,111,Richard Rose,wfrazier@gmail.com,567.984.5532x99502,74389.23120000001
112,Product 112,Electronics,2022-09-10,North,Marshall Islands,New Deniseberg,4,463.92,0.27,112,Ashley Davidson,jonathanjackson@hotmail.com,210-641-0405,1354.6464
113,Product 113,Home,2023-09-07,North,Paraguay,Rosschester,99,450.14,0.05,113,April Haynes,alandry@hotmail.com,273-382-3316,42335.667
114,Product 114,Sports,2023-02-26,West,Bangladesh,Davenportport,43,342.74,0.2,114,Joseph Barnes,uwoods@gmail.com,8739760964,11790.256000000001
115,Product 115,Electronics,2020-05-09,West,Rwanda,Johnview,78,881.87,0.03,115,Heather Miller,faulknerjohn@hernandez.com,820-588-6585x6779,66722.2842
116,Product 116,Beauty,2023-03-04,South,Ethiopia,Reevesland,22,945.58,0.29,116,Dawn Patel,sandra28@clarke.com,414.054.0423x6579,14769.9596
117,Product 117,Sports,2024-06-16,North,Serbia,Hernandezborough,74,991.97,0.21,117,Scott Francis,jaime24@green.com,(924)427-1582,57990.5662
118,Product 118,Home,2020-02-25,South,United States Minor Outlying Islands,Williamsfurt,1,382.97,0.25,118,Crystal Ramirez,stephensteresa@hotmail.com,(530)075-6342,287.2275
119,Product 119,Clothing,2024-07-05,South,Bermuda,Hernandezland,11,966.49,0.17,119,Amy West,jonessylvia@smith.info,+1-114-063-0029,8824.053699999999
120,Product 120,Clothing,2020-11-06,North,Somalia,Ashleystad,44,793.96,0.14,120,Jennifer Jones,david41@ponce-higgins.biz,(190)775-5211x73786,30043.446400000004
121,Product 121,Electronics,2021-07-09,East,Philippines,East Timothy,59,678.93,0.19,121,Chelsea Miller,kphillips@hotmail.com,248-693-9462x0938,32446.0647
122,Product 122,Home,2021-12-19,South,Mayotte,North Elizabeth,24,252.44,0.16,122,Victoria Hickman,linda28@hotmail.com,+1-756-089-7968x6495,5089.1903999999995
123,Product 123,Electronics,2021-12-29,South,French Polynesia,Lake Brianville,60,224.29,0.14,123,Timothy Burton,orowe@stone-ramos.net,+1-386-036-4590x379,11573.364
124,Product 124,Clothing,2024-05-30,South,Georgia,West Cynthiaside,3,174.39,0.23,124,Michele Davidson,david10@wheeler-horton.info,(504)581-8384x3508,402.8409
125,Product 125,Home,2022-06-01,North,Ireland,Lake Jacquelinebury,99,923.53,0.05,125,Darrell Garcia,catherinehall@yahoo.com,169.981.8118,86857.9965
126,Product 126,Clothing,2023-08-28,South,Taiwan,West Sharonhaven,63,301.14,0.05,126,Linda Jones,jamesward@hotmail.com,(793)800-6041x7997,18023.229
127,Product 127,Home,2021-07-19,South,Monaco,North Bobby,36,458.56,0.13,127,Molly Jenkins,urobbins@weaver.biz,(361)499-9284x10882,14362.0992
128,Product 128,Beauty,2020-02-14,North,Afghanistan,West Christopher,95,499.02,0.1,128,April Burnett,john50@yahoo.com,7259055505,42666.21
129,Product 129,Electronics,2021-03-02,West,New Zealand,Port Jack,68,780.39,0.02,129,Ryan Jennings,melissa48@yahoo.com,(497)475-5703x0581,52005.1896
130,Product 130,Electronics,2023-05-11,North,Guadeloupe,Schneiderstad,83,845.79,0.25,130,Stacy Shelton,russellsylvia@yahoo.com,001-851-824-9608x61845,52650.42749999999
131,Product 131,Clothing,2023-03-17,West,El Salvador,Tracyfort,47,147.68,0.23,131,Johnny Conner,douglasmccullough@ingram.com,391-353-4190x06631,5344.5392
132,Product 132,Clothing,2023-12-16,South,Greenland,Villarrealbury,21,432.64,0.16,132,Ashley Ramos,bentleysarah@hotmail.com,(571)257-4052x20468,7631.7696000000005
133,Product 133,Electronics,2022-11-29,North,Bulgaria,South Marvinbury,82,844.43,0.29,133,Antonio Lopez,nburke@hale-anderson.com,(040)794-7362x04700,49162.71459999999
134,Product 134,Sports,2020-10-21,East,Ethiopia,Bradshawview,51,819.85,0.02,134,April Rosario,brucefigueroa@wright.com,568-541-9095x0428,40976.102999999996
135,Product 135,Sports,2022-10-24,East,Luxembourg,Ambertown,28,111.39,0.23,135,Ashley Daniel,johnsonangela@mason.com,(452)690-5068x2956,2401.5684
136,Product 136,Sports,2021-03-27,West,New Caledonia,Port Michelle,15,164.82,0.08,136,Carlos Small,wsanchez@yahoo.com,706-533-8058,2274.5159999999996
137,Product 137,Electronics,2020-09-04,North,Aruba,Port Destiny,42,311.16,0.11,137,John Jackson,donna98@king.net,001-980-658-3676x507,11631.160800000001
138,Product 138,Electronics,2023-10-29,North,Saint Pierre and Miquelon,Shawburgh,59,84.61,0.07,138,Megan Jones,pricejason@newman.com,439.438.4628x2653,4642.5507
139,Product 139,Electronics,2020-12-09,West,Philippines,North David,66,430.42,0.24,139,Cynthia Porter,allenkaitlyn@nelson.org,2730009892,21589.8672
140,Product 140,Clothing,2021-02-05,North,Lesotho,Lake Jack,37,116.54,0.04,140,Ernest Reid,annette48@walker.com,(277)139-3097,4139.500800000001
141,Product 141,Sports,2020-07-06,East,Mali,New Luisville,11,572.54,0.25,141,Angela Rangel,kingamanda@hotmail.com,001-136-830-7886x69311,4723.455
142,Product 142,Sports,2020-08-18,East,Palau,Hardinland,87,254.09,0.2,142,Diane Johnson MD,marie00@hotmail.com,(678)026-7248,17684.664
143,Product 143,Electronics,2023-12-24,South,Paraguay,Lake Breanna,44,600.47,0.02,143,Brian Jones,heather27@fox.info,(821)910-3544,25892.2664
144,Product 144,Beauty,2023-10-19,West,Ukraine,New Dean,12,126.35,0.24,144,Gregg Adkins,megansmith@hotmail.com,884.604.5126x7636,1152.312
145,Product 145,Electronics,2022-09-08,South,Comoros,Chungborough,3,976.13,0.19,145,Frederick Hughes,castrotoni@meza.org,001-330-965-8160x841,2371.9959
146,Product 146,Home,2023-01-10,East,Sierra Leone,Bakerburgh,52,933.24,0.27,146,Danielle Smith,cromero@gmail.com,+1-649-167-3277,35425.7904
147,Product 147,Electronics,2022-07-02,South,India,Port Robert,81,397.88,0.22,147,Zachary Ford,smiller@stephens-martinez.com,360-962-9326,25138.0584
148,Product 148,Electronics,2021-09-14,West,France,South Lukestad,33,249.76,0.17,148,Patrick Sloan,thompsonchristopher@evans.com,746.328.5552x893,6840.926399999999
149,Product 149,Sports,2020-03-20,East,Denmark,Lake Edward,55,257.89,0.25,149,Joshua Barnes,deborah99@yahoo.com,001-857-134-9660x21666,10637.9625
150,Product 150,Electronics,2024-04-08,East,Kuwait,East Kimberly,1,488.56,0.08,150,Jeremy Mcdowell,emilymcbride@hicks.info,117.095.4468,449.47520000000003
151,Product 151,Clothing,2021-10-05,West,Singapore,Grahamville,39,49.59,0.16,151,Joy Liu,kevinking@hotmail.com,714.399.2964x725,1624.5684
152,Product 152,Clothing,2021-01-24,West,Kiribati,Claytonchester,20,643.31,0.09,152,Emily Bowman,joel65@yahoo.com,001-548-804-2614x67279,11708.242
153,Product 153,Electronics,2023-07-14,North,Jersey,South Savannah,47,414.22,0.29,153,Monica Smith,john29@gmail.com,6777842785,13822.5214
154,Product 154,Beauty,2021-01-12,East,Timor-Leste,Lake Donnaborough,43,383.63,0.07,154,Angela Sanchez,courtneysanchez@chang.com,(006)361-8659,15341.3637
155,Product 155,Clothing,2022-10-16,East,Lao People's Democratic Republic,Georgeland,57,811.27,0.0,155,Danielle Baker,jacksonbrenda@yahoo.com,768.847.6297x37318,46242.39
156,Product 156,Electronics,2023-04-23,West,Equatorial Guinea,West Joseph,61,711.95,0.1,156,Sarah Lopez,robinjacobson@hotmail.com,+1-210-672-4045,39086.05500000001
157,Product 157,Electronics,2022-02-28,North,Kuwait,Patriciatown,78,954.79,0.15,157,Laurie Harris,waltersandre@larson.net,(188)280-8463x3058,63302.577
158,Product 158,Sports,2022-01-12,East,Cook Islands,West Jennifer,31,358.42,0.01,158,Brian Walker,brightdiana@hamilton.biz,(215)853-9609,10999.9098
159,Product 159,Beauty,2020-04-12,North,Faroe Islands,East Anne,25,898.57,0.17,159,Catherine Moore,carrie54@gmail.com,021.022.0759x77764,18645.3275
160,Product 160,Sports,2021-07-06,West,Cyprus,South Kellyview,3,772.27,0.26,160,Clifford Smith,joycecochran@zimmerman.biz,001-090-433-7861x875,1714.4394
161,Product 161,Electronics,2023-12-24,West,Barbados,Wrightshire,4,363.85,0.21,161,Donald West,leelinda@gmail.com,001-686-106-3963,1149.766
162,Product 162,Home,2020-09-28,North,Kenya,West Jeffreyville,95,625.45,0.19,162,Charlotte Tate,cmoore@gmail.com,6843119380,48128.37750000001
163,Product 163,Electronics,2023-01-31,West,Holy See (Vatican City State),Howardland,99,295.68,0.29,163,Nicholas Hunt,jamesking@fox.biz,002.948.7448,20783.3472
164,Product 164,Clothing,2020-07-20,East,Tokelau,Evantown,14,875.66,0.29,164,Patricia Owens,jennifer51@yahoo.com,001-207-489-9762x911,8704.0604
165,Product 165,Electronics,2021-06-03,West,Solomon Islands,Nathanbury,41,121.3,0.25,165,Wayne Murray,jennifercisneros@yahoo.com,(019)105-5983x157,3729.9750000000004
166,Product 166,Home,2021-11-19,North,Peru,Julieland,73,220.31,0.18,166,Todd Oliver,richardjohn@scott.com,+1-862-076-2394x152,13187.756600000002
